"label","coo1","coo2","inr","type"
"Africa",0.968178996724867,0.0692117079109192,0.0516765848301162,"Region"
"Africa South of the Sahara",1.64161709967915,-0.259636935309901,0.00552662580956719,"Region"
"African Union",1.1898720588251,-0.270479977859736,0.00630139464504036,"Region"
"Alpeia",-0.310405452755277,-0.64781518282266,0.00876333034232848,"Region"
"Amazon",-0.211394307564613,-0.643005032925389,0.00427048985786856,"Region"
"Antarctica",-0.316394074689743,-0.468051285055167,0.00119211015895829,"Region"
"Antilles",-0.208498999937208,-0.635147041226063,0.00451554686969091,"Region"
"Arab League",0.857222145526908,-0.0610146743965367,0.00191750189760085,"Region"
"Arab countries",1.520210603408,-0.305276543398417,0.0145629939208958,"Region"
"Arctic",-0.323594810728001,-0.590454223420753,0.00197895376143746,"Region"
"Asia",-0.187357879466317,0.445523968545103,0.00654837807616659,"Region"
"Balkans",-0.300522258054963,-0.124946193739647,0.000967842634220358,"Region"
"Black Sea",-0.221609900431526,1.43084048365045,0.0326705997327773,"Region"
"Caribbean",-0.257031830601956,-0.535195883673434,0.0027698156294618,"Region"
"Caucasia",-0.264724183131312,-0.0891696845701087,0.000671898604117631,"Region"
"Central America",-0.176503057961947,-0.256079966452167,0.000775017027258218,"Region"
"Central Asia",0.0295919463674866,0.67556593606735,0.00190913725302448,"Region"
"Commonwealth",0.667366856421978,-0.336365220348508,0.000467823395757506,"Region"
"Council of Europe",0.0423449688019643,-0.0707137939223753,0.000570943825997586,"Region"
"E.U.",-0.116228821027557,-0.123350517768491,0.0155732690277216,"Region"
"EBRD",1.26036750318434,0.878690322176885,0.018954613004777,"Region"
"Eastern Europe",-0.311014216559952,-0.0219695811579156,0.0013591415260316,"Region"
"Eastern Ocean",-0.145961531729706,-0.465496049749163,0.00204396582083154,"Region"
"Eurasia",-0.267289627641579,1.60179946323637,0.00583641634968514,"Region"
"Europa League (UEFA)",-0.341624693642577,-0.220850974029145,0.00603323494752845,"Region"
"Europe",-0.197835494219969,0.0928058674039737,0.0130730442880424,"Region"
"Francophonie ",1.9954504917764,-0.260365703968974,0.0120965971338252,"Region"
"Himalaya",-0.340964626037509,-0.638041994145064,0.00108117560149582,"Region"
"Latin America",-0.182885731897028,-0.0910889893640255,0.000776754699949187,"Region"
"Maghrib",2.20775262143499,-0.219242898870522,0.0381860171842769,"Region"
"Mediterranean",-0.0198252598773622,0.507199633041797,0.0111672601456853,"Region"
"Mid East",0.490199181048761,-0.112285550720701,0.0044582028575722,"Region"
"NATO",-0.173121772951657,0.0127664452022642,0.00117501218709746,"Region"
"Near East",0.0730868503611539,-0.496344749386662,0.00269515077914391,"Region"
"North Africa",1.6168610565499,0.1762087353297,0.0174925999640657,"Region"
"North America",-0.13465465490424,-0.113675821219973,0.000314411510947077,"Region"
"Occident",-0.0306708921142645,0.758487542970982,0.000946428008382112,"Region"
"Polynesia",-0.21726581612487,-0.644220079110407,0.00331482587144196,"Region"
"Sahara",1.37241159372552,-0.219875860904565,0.00530681798658947,"Region"
"Sahel",0.992236134433688,-0.423705107072551,0.00993629122297388,"Region"
"South America",-0.258567211812603,0.0154462609550534,0.000464649056295362,"Region"
"South China Sea",-0.225307747003603,-0.203855124137285,0.000987378435068609,"Region"
"South-East Asia",-0.23567432037136,-0.153263460952899,0.000349548570677591,"Region"
"West Africa",0.248462199347591,-0.409287329674624,0.00164582349655973,"Region"
"DEU_suddeu",-0.21705764601444,-0.202024258141901,0.0404376737726205,"Media"
"FRA_figaro",-0.102078036992804,-0.197105844243102,0.0326791573070558,"Media"
"TUN_afrman",1.39377444892004,-0.0195604826446037,0.178995461253507,"Media"
"TUR_dunya",-0.126523505587286,0.510824759800642,0.0712133256157671,"Media"
