Attractive_Country_Study,Nb,Pct,Macroregion
Canada,68,18.3783783783784,North America
USA,47,12.7027027027027,North America
France hexagonale,46,12.4324324324324,Europe
UK (including England and Scotland),38,10.2702702702703,Europe
Spain,31,8.37837837837838,Europe
Belgium,13,3.51351351351351,Europe
China,7,1.89189189189189,East Asia
South Corea,7,1.89189189189189,East Asia
Cuba,7,1.89189189189189,Caribbean
Ireland,7,1.89189189189189,Europe
Japon,7,1.89189189189189,East Asia
Sweden,7,1.89189189189189,Europe
Australia,6,1.62162162162162,Oceania
Italia,6,1.62162162162162,Europe
New-Zeland,6,1.62162162162162,Oceania
Germany,5,1.35135135135135,Europe
Norway,5,1.35135135135135,Europe
South Africa,4,1.08108108108108,Sub-Saharan Africa
Barbados,4,1.08108108108108,Caribbean
Switzerland,4,1.08108108108108,Europe
Brazil,3,0.810810810810811,South America
Jamaica,3,0.810810810810811,Caribbean
Mexico,3,0.810810810810811,North America
Netherland,3,0.810810810810811,Europe
Trinidad and Tobago,3,0.810810810810811,Caribbean
Austria,2,0.540540540540541,Europe
Finland,2,0.540540540540541,Europe
Gabon,2,0.540540540540541,Sub-Saharan Africa
Portugal,2,0.540540540540541,Europe
Benin,1,0.27027027027027,Sub-Saharan Africa
Cameroun,1,0.27027027027027,Sub-Saharan Africa
Denmark,1,0.27027027027027,Europe
United Arab Emirates,1,0.27027027027027,Middle East
Estonia,1,0.27027027027027,Europe
Guadeloupe,1,0.27027027027027,Caribbean
Guyane,1,0.27027027027027,South America
India,1,0.27027027027027,South Asia
Luxembourg,1,0.27027027027027,Europe
Madagascar,1,0.27027027027027,Sub-Saharan Africa
Martinique,1,0.27027027027027,Caribbean
New Caledonia,1,0.27027027027027,Oceania
Peru,1,0.27027027027027,South America
Porto Rico,1,0.27027027027027,Caribbean
Reunion,1,0.27027027027027,Sub-Saharan Africa
Russia,1,0.27027027027027,Europe
Senegal,1,0.27027027027027,Sub-Saharan Africa
Serbia,1,0.27027027027027,Europe
Singapour,1,0.27027027027027,South Asia
French Polynesia,1,0.27027027027027,Oceania
Taiwan,1,0.27027027027027,East Asia
Thailand,1,0.27027027027027,South-East Asia
